"x","Freq"
"1",6178
"2",5855
"3",2848
"4",1454
"5",931
"j",561
"c",427
"f",387
"xix",378
"behemothus",366
"24",298
"6",286
"gramotaru",280
"ii",241
"ps",282
"10",251
"20",245
"7",255
"8",247
"xviii",220
"upd",202
"s",200
"2004",218
"12",211
"30",188
"r",133
"text",160
"100",160
"50",171
"n",179
"xvii",168
"y",148
"0",137
"b",125
"link",138
"xvi",139
"60",130
"olsa",117
"u",106
"v",115
"x",105
"11",98
"1799",97
"23",109
"9",88
"grumant",123
"httpwwwngebookscombook27869chapter32xxxhtml",95
"19",85
"2007",104
"70",109
"80",102
"17",101
"1956",90
"1983",74
"2002",87
"2010",102
"25",93
"docenti",89
"e",63
"gecube",62
"xx",74
"18",75
"19351940",85
"2012",70
"35",57
"40",49
"fuchoin",69
"h",59
"have",56
"iii",62
"inna",54
"kazuki",64
"shamov",34
"xiii",58
"xiv",41
"000",60
"149",32
"15",56
"19641973",58
"2008",63
"2011",57
"28",36
"75",41
"82",46
"99",48
"g",52
"je",42
"t",30
"upd2",30
"word",45
"102",29
"13",42
"16",40
"1918",32
"1940",46
"1974",40
"1994",52
"1999",49
"2003",21
"2009",25
