"x","Freq"
"use",7854
"can",6438
"point",4308
"one",3716
"light",3352
"render",3285
"image",3113
"will",3077
"pixel",2923
"need",2858
"like",2794
"texture",2693
"good",2642
"shader",2585
"also",2555
"just",2494
"work",2457
"way",2372
"get",2340
"sample",2305
"make",2281
"surface",2273
"ray",2239
"value",2171
"may",2131
"do",2108
"look",2063
"color",2034
"vertex",1981
"give",1944
"case",1917
"see",1886
"two",1863
"line",1843
"result",1806
"1",1789
"want",1773
"2",1743
"object",1726
"different",1712
"time",1675
"im",1667
"function",1643
"know",1622
"example",1600
"code",1576
"problem",1562
"triangle",1549
"vector",1539
"find",1530
"datum",1510
"algorithm",1477
"space",1464
"draw",1453
"map",1431
"model",1412
"matrix",1392
"try",1371
"coordinate",1363
"gpu",1351
"graphic",1337
"direction",1322
"3d",1315
"take",1296
"scene",1280
"method",1253
"however",1238
"0",1228
"mean",1214
"since",1209
"mesh",1199
"first",1191
"source",1175
"question",1156
"much",1150
"even",1141
"curve",1132
"distance",1121
"normal",1111
"camera",1104
"thing",1099
"now",1089
"opengl",1085
"buff",1075
"edge",1063
"change",1052
"many",1036
"x",1024
"simple",1018
"say",1012
"base",1008
"calculate",990
"path",983
"numb",978
"call",964
"sphere",961
"go",957
"apply",951
"follow",948
"transform",938
